ASX_code, Company_name, Listing_date, GICs_industry_group, Market_CapAHY,ASALEO CARE LIMITED,Not provided,Consumer Durables & Apparel,
MOH,MOHO RESOURCES LIMITED,7/11/2018,Materials,7229278
HGH,HEARTLAND GROUP HOLDINGS LIMITED,1/11/2018,Banks,1122006859
WWG,WISEWAY GROUP LIMITED,31/10/2018,Transportation,43145631
CRN,CORONADO GLOBAL RESOURCES INC.,23/10/2018,Materials,1458514745
STG,STRAKER TRANSLATIONS LIMITED,22/10/2018,Media & Entertainment,130264574
QEM,QEM LIMITED,19/10/2018,Materials,15000000
ID8,IDENTITII LIMITED,17/10/2018,Software & Services,13812987
SMX,SECURITY MATTERS LIMITED,15/10/2018,Software & Services,45286114
TGF,TRIBECA GLOBAL NATURAL RESOURCES LIMITED,12/10/2018,Investment Trust/Fund,143910000
EMN,EURO MANGANESE INC,2/10/2018,Materials,200892464
SGI,STEALTH GLOBAL HOLDINGS LTD,2/10/2018,Capital Goods,11465500
NBI,NB GLOBAL CORPORATE INCOME TRUST,26/09/2018,Investment Trust/Fund,820849298
AGH,ALTHEA GROUP HOLDINGS LIMITED,21/09/2018,Pharmaceuticals, Biotechnology & Life Sciences,87895136
AR9,ARCHTIS LIMITED,21/09/2018,Software & Services,55577039
VEN,VINTAGE ENERGY LTD,17/09/2018,Energy,42976715
ARN,ALDORO RESOURCES LIMITED,13/09/2018,Materials,30193576
14D,1414 DEGREES LIMITED,12/09/2018,Capital Goods,20031046
HLA,HEALTHIA LIMITED,11/09/2018,Health Care Equipment & Services,184019083
BDG,BLACK DRAGON GOLD CORP.,29/08/2018,Materials,12343163
KSS,KLEOS SPACE S.A,24/08/2018,Commercial & Professional Services,155882333
KWR,KINGWEST RESOURCES LIMITED,24/08/2018,Materials,15960148
NIC,NICKEL MINES LIMITED,20/08/2018,Materials,2515029051
SLZ,SULTAN RESOURCES LTD,16/08/2018,Materials,14602222
TMR,TEMPUS RESOURCES LTD,15/08/2018,Materials,17280307
VTH,VITALHARVEST FREEHOLD TRUST,1/08/2018,Real Estate,N/A
CR1,CONSTELLATION RESOURCES LIMITED,30/07/2018,Materials,12800420
NSB,NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,27/07/2018,Pharmaceuticals, Biotechnology & Life Sciences,46628284
RFR,RAFAELLA RESOURCES LTD.,26/07/2018,Materials,15122133
CXL,CALIX LIMITED,20/07/2018,Materials,418575297
KTD,KEYTONE DAIRY CORPORATION LIMITED,18/07/2018,Food, Beverage & Tobacco,32771578
VEA,VIVA ENERGY GROUP LIMITED,13/07/2018,Energy,3070589816
WOA,WIDE OPEN AGRICULTURE LTD,6/07/2018,Food, Beverage & Tobacco,87178604
WOAN,WIDE OPEN AGRICULTURE LTD,6/07/2018,Food, Beverage & Tobacco,87178604
RMY,RMA GLOBAL LIMITED,5/07/2018,Media & Entertainment,143807891
MMM,MARLEY SPOON AG,2/07/2018,Consumer Services,762954500
